EmpNo,Job,Date,HW
2580,231671,2011-04-10T00:00:00.000000000,7.02
2580,231671,2011-04-17T00:00:00.000000000,7.02
2580,231671,2011-04-24T00:00:00.000000000,7.02
2580,231671,2011-05-01T00:00:00.000000000,7.02
2580,231671,2011-05-08T00:00:00.000000000,7.02
2580,231671,2011-05-15T00:00:00.000000000,7.02
2580,231671,2011-05-22T00:00:00.000000000,7.02
2580,231671,2011-05-29T00:00:00.000000000,7.02
2580,231671,2011-06-05T00:00:00.000000000,7.02
2580,231671,2011-06-12T00:00:00.000000000,7.02
2580,231751,2011-06-26T00:00:00.000000000,4
2580,231751,2011-07-03T00:00:00.000000000,4
2580,231751,2011-07-10T00:00:00.000000000,4
2580,231751,2011-07-17T00:00:00.000000000,4
2580,231751,2011-07-24T00:00:00.000000000,4
2580,231751,2011-07-31T00:00:00.000000000,4
2580,231751,2011-08-07T00:00:00.000000000,4
2580,231751,2011-08-14T00:00:00.000000000,4
2580,231751,2011-08-21T00:00:00.000000000,4
2580,231751,2011-08-28T00:00:00.000000000,4
2580,231751,2011-09-04T00:00:00.000000000,4
2580,231751,2011-09-11T00:00:00.000000000,4
2580,231751,2011-09-18T00:00:00.000000000,4
2580,231751,2011-09-25T00:00:00.000000000,4
2580,231751,2011-10-02T00:00:00.000000000,0.7
2580,231751,2011-10-09T00:00:00.000000000,0.7
2586,131121,2011-01-03T00:00:00.000000000,22.62
2586,131121,2011-01-04T00:00:00.000000000,22.61
2586,131121,2011-01-05T00:00:00.000000000,22.61
2586,131121,2011-01-06T00:00:00.000000000,22.61
2586,131121,2011-01-07T00:00:00.000000000,22.62
2586,131121,2011-01-10T00:00:00.000000000,22.62
2586,131121,2011-01-11T00:00:00.000000000,22.61
2586,131121,2011-01-12T00:00:00.000000000,22.62
2586,131121,2011-01-13T00:00:00.000000000,22.62
2586,131121,2011-01-14T00:00:00.000000000,22.61
2586,131121,2011-01-18T00:00:00.000000000,30.69
2586,131121,2011-01-19T00:00:00.000000000,22.61
2586,131121,2011-01-20T00:00:00.000000000,22.61
2586,131121,2011-01-21T00:00:00.000000000,22.61
2586,131121,2011-01-24T00:00:00.000000000,28.27
2586,131121,2011-01-25T00:00:00.000000000,25.85
2586,131121,2011-01-26T00:00:00.000000000,22.61
